Call_date,Interval,Call Volume
1/3/99,00:00:00,8
1/3/99,00:30:00,5
1/3/99,01:00:00,2
1/3/99,01:30:00,1
1/3/99,02:00:00,0
1/3/99,02:30:00,0
1/3/99,03:00:00,0
1/3/99,03:30:00,0
1/3/99,04:00:00,1
1/3/99,04:30:00,0
1/3/99,05:00:00,2
1/3/99,05:30:00,1
1/3/99,06:00:00,2
1/3/99,06:30:00,4
1/3/99,07:00:00,36
1/3/99,07:30:00,35
1/3/99,08:00:00,57
1/3/99,08:30:00,83
1/3/99,09:00:00,57
1/3/99,09:30:00,73
1/3/99,10:00:00,92
1/3/99,10:30:00,79
1/3/99,11:00:00,72
1/3/99,11:30:00,64
1/3/99,12:00:00,71
1/3/99,12:30:00,59
1/3/99,13:00:00,67
1/3/99,13:30:00,71
1/3/99,14:00:00,73
1/3/99,14:30:00,77
1/3/99,15:00:00,88
1/3/99,15:30:00,77
1/3/99,16:00:00,105
1/3/99,16:30:00,152
1/3/99,17:00:00,113
1/3/99,17:30:00,74
1/3/99,18:00:00,53
1/3/99,18:30:00,36
1/3/99,19:00:00,33
1/3/99,19:30:00,45
1/3/99,20:00:00,38
1/3/99,20:30:00,37
1/3/99,21:00:00,22
1/3/99,21:30:00,43
1/3/99,22:00:00,25
1/3/99,22:30:00,23
1/3/99,23:00:00,31
1/3/99,23:30:00,23
