Date,Call Volume,Handling_time
1/1/99,600,93895
1/2/99,253,38265
1/3/99,2110,319282
1/4/99,1830,251323
1/5/99,1628,260412
1/6/99,1404,249110
1/7/99,1655,276628
1/8/99,439,69962
1/9/99,201,27054
1/10/99,1986,288000
1/13/99,1752,259431
1/14/99,1655,256986
1/15/99,500,83553
1/16/99,207,34696
1/17/99,1601,246273
1/18/99,1558,210460
1/19/99,1455,223425
1/20/99,1310,197143
1/21/99,1423,231556
1/22/99,381,69400
1/23/99,194,31312
1/24/99,1172,197072
1/25/99,1099,184670
1/26/99,1185,196838
1/27/99,1008,173047
1/28/99,1190,194994
1/29/99,375,62769
1/30/99,159,29812
1/31/99,1236,203435
