time,1/1/99,1/2/99,1/3/99,1/4/99,1/5/99,1/6/99,1/7/99,1/8/99,1/9/99,1/10/99,1/11/99,1/12/99,1/13/99,1/14/99,1/15/99,1/16/99,1/17/99,1/18/99,1/19/99,1/20/99,1/21/99,1/22/99,1/23/99,1/24/99,1/25/99,1/26/99,1/27/99,1/28/99,1/29/99,1/30/99,1/31/99,2/1/99,2/2/99,2/3/99,2/4/99,2/5/99,2/6/99,2/7/99,2/8/99,2/9/99,2/10/99,2/11/99,2/12/99,2/13/99,2/14/99,2/15/99,2/16/99,2/17/99,2/18/99,2/19/99,2/20/99,2/21/99,2/22/99,2/23/99,2/24/99,2/25/99,2/26/99,2/27/99,2/28/99,3/1/99,3/2/99,3/3/99,3/4/99,3/5/99,3/6/99,3/7/99,3/8/99,3/9/99,3/10/99,3/11/99,3/12/99,3/13/99,3/14/99,3/15/99,3/16/99,3/17/99,3/18/99,3/19/99,3/20/99,3/21/99,3/22/99,3/23/99,3/24/99,3/25/99,3/26/99,3/27/99,3/28/99,3/29/99,3/30/99,3/31/99,4/1/99,4/2/99,4/3/99,4/4/99,4/5/99,4/6/99,4/7/99,4/8/99,4/9/99,4/10/99,4/11/99,4/12/99,4/13/99,4/14/99,4/15/99,4/16/99,4/17/99,4/18/99,4/19/99,4/20/99,4/21/99,4/22/99,4/23/99,4/24/99,4/25/99,4/26/99,4/27/99,4/28/99,4/29/99,4/30/99,5/1/99,5/2/99,5/3/99,5/4/99,5/5/99,5/6/99,5/7/99,5/8/99,5/9/99,5/10/99,5/11/99,5/12/99,5/13/99,5/14/99,5/15/99,5/16/99,5/17/99,5/18/99,5/19/99,5/20/99,5/21/99,5/22/99,5/23/99,5/24/99,5/25/99,5/26/99,5/27/99,5/28/99,5/29/99,5/30/99,5/31/99,6/1/99,6/2/99,6/3/99,6/4/99,6/5/99,6/6/99,6/7/99,6/8/99,6/9/99,6/10/99,6/11/99,6/12/99,6/13/99,6/14/99,6/15/99,6/16/99,6/17/99,6/18/99,6/19/99,6/20/99,6/21/99,6/22/99,6/23/99,6/24/99,6/25/99,6/26/99,6/27/99,6/28/99,6/29/99,6/30/99,7/1/99,7/2/99,7/3/99,7/4/99,7/5/99,7/6/99,7/7/99,7/8/99,7/9/99,7/10/99,7/11/99,7/12/99,7/13/99,7/14/99,7/15/99,7/16/99,7/17/99,7/18/99,7/19/99,7/20/99,7/21/99,7/22/99,7/23/99,7/24/99,7/25/99,7/26/99,7/27/99,7/28/99,7/29/99,7/30/99,7/31/99,8/1/99,8/2/99,8/3/99,8/4/99,8/5/99,8/6/99,8/7/99,8/8/99,8/9/99,8/10/99,8/11/99,8/12/99,8/13/99,8/14/99,8/15/99,8/16/99,8/17/99,8/18/99,8/19/99,8/20/99,8/21/99,8/22/99,8/23/99,8/24/99,8/25/99,8/26/99,8/27/99,8/28/99,8/29/99,8/30/99,8/31/99,9/1/99,9/2/99,9/3/99,9/4/99,9/5/99,9/6/99,9/7/99,9/8/99,9/9/99,9/10/99,9/11/99,9/12/99,9/13/99,9/14/99,9/15/99,9/16/99,9/17/99,9/18/99,9/19/99,9/20/99,9/21/99,9/22/99,9/23/99,9/24/99,9/25/99,9/26/99,9/27/99,9/28/99,9/29/99,9/30/99,10/1/99,10/2/99,10/3/99,10/4/99,10/5/99,10/6/99,10/7/99,10/8/99,10/9/99,10/10/99,10/11/99,10/12/99,10/13/99,10/14/99,10/15/99,10/16/99,10/17/99,10/18/99,10/19/99,10/20/99,10/21/99,10/22/99,10/23/99,10/24/99,10/25/99,10/26/99,10/27/99,10/28/99,10/29/99,10/30/99,10/31/99,11/1/99,11/2/99,11/3/99,11/4/99,11/5/99,11/6/99,11/7/99,11/8/99,11/9/99,11/10/99,11/11/99,11/12/99,11/13/99,11/14/99,11/15/99,11/16/99,11/17/99,11/18/99,11/19/99,11/20/99,11/21/99,11/22/99,11/23/99,11/24/99,11/25/99,11/26/99,11/27/99,11/28/99,11/29/99,11/30/99
00:00:00,2,0,8,1,5,4,2,1,0,3,0,0,0,2,1,0,0,1,2,3,0,2,0,2,5,2,3,1,1,0,2,2,2,6,2,3,0,5,4,0,4,5,7,0,0,2,4,6,7,6,0,3,2,1,3,0,4,0,4,4,3,2,3,2,1,4,0,0,1,3,3,0,2,4,4,2,4,3,0,1,3,4,2,0,2,0,3,0,4,3,0,13,1,1,1,3,1,2,3,0,2,4,3,0,8,5,0,2,0,0,6,5,4,1,4,2,2,1,4,2,1,0,1,7,0,2,4,0,4,1,5,5,3,3,1,2,3,0,0,4,0,0,7,2,2,1,0,5,0,1,1,3,2,4,1,0,3,4,4,4,3,3,0,2,0,7,1,9,3,0,4,12,6,1,0,2,0,2,2,0,1,14,1,0,8,2,6,5,3,4,0,4,5,4,2,5,5,0,3,6,4,0,3,11,0,9,6,2,2,1,4,0,4,3,5,4,3,7,1,5,1,9,5,6,4,0,3,3,4,0,4,6,0,4,17,9,9,7,5,0,2,3,5,4,6,5,0,5,4,6,6,5,4,1,0,0,4,2,5,6,0,4,0,5,3,1,8,0,2,2,10,4,2,6,0,2,5,2,2,0,5,1,2,2,6,3,3,3,2,1,2,3,3,4,2,0,1,2,5,6,8,2,0,1,7,4,6,4,6,0,1,3,7,8,6,4,0,2,3,6,1,3,2,0,1,6,3,1,3,0,0,0,3,3
00:30:00,9,2,5,3,1,1,0,0,0,5,0,0,0,0,0,0,1,9,1,2,1,0,0,0,4,0,0,1,0,0,0,2,0,1,4,0,0,2,1,0,4,2,2,0,2,0,4,3,2,4,0,0,0,0,0,3,0,0,4,2,1,2,5,3,1,1,1,0,7,5,5,0,0,4,0,1,0,2,0,5,0,0,3,0,1,0,2,3,3,2,1,2,0,12,3,3,0,3,0,0,6,1,3,1,0,5,0,5,0,0,0,0,6,0,5,1,0,1,2,5,0,6,5,0,1,2,0,0,4,5,5,2,0,0,0,1,6,0,1,1,0,0,4,0,0,0,0,8,0,2,0,1,6,0,0,0,8,0,1,4,0,1,0,4,0,0,3,2,1,0,6,3,1,2,0,2,0,4,1,0,0,3,0,0,4,1,4,1,1,2,0,6,1,1,1,0,0,0,5,3,5,1,0,3,0,5,5,0,2,0,3,0,7,11,2,3,4,5,0,5,3,3,2,2,0,0,1,1,4,0,2,2,0,7,7,0,0,3,1,0,6,2,3,3,1,2,0,5,1,2,3,0,3,0,0,6,1,8,7,5,1,2,0,3,3,1,0,0,0,1,1,2,1,0,0,2,0,0,0,0,3,0,2,2,1,1,2,0,0,0,2,1,3,3,3,0,2,4,0,3,3,1,0,0,1,2,6,3,0,1,0,1,1,3,4,0,0,4,1,1,5,1,0,0,0,2,3,1,1,0,1,0,0,1
01:00:00,3,0,2,0,2,1,1,0,0,2,0,0,0,0,0,0,3,5,0,2,0,1,0,2,2,0,0,3,1,0,0,2,2,2,0,0,1,2,0,0,1,1,0,0,1,1,3,3,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3,0,1,1,0,2,0,1,2,2,0,0,0,1,1,2,1,0,1,1,1,1,3,0,0,0,7,1,2,1,6,2,0,3,2,0,1,2,1,0,4,1,0,0,2,1,0,1,2,3,2,0,0,0,0,1,0,1,2,1,0,0,6,0,0,0,2,0,9,0,0,1,0,0,0,11,7,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,2,2,1,1,2,6,0,0,0,0,1,0,0,0,0,1,2,1,2,2,1,2,1,3,2,2,1,1,0,0,0,1,0,8,0,0,0,5,3,0,2,0,0,0,6,6,2,1,0,1,0,0,2,2,2,2,1,1,3,0,2,0,1,0,0,2,1,4,4,3,1,0,3,1,2,6,1,8,0,1,0,0,0,1,1,0,2,1,4,2,3,2,0,1,0,2,1,1,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,1,2,1,2,0,1,1,1,0,3,1,0,0,2,0,0,0,1,0,2,3,2,0,1,1,0,0,0,0,1,0,0,0,2,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
01:30:00,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,3,0,1,1,0,0,0,0,0,3,1,1,0,0,1,1,4,0,0,0,0,1,0,1,2,0,1,0,0,0,2,4,0,1,1,0,1,2,1,0,0,1,0,0,1,2,3,0,0,1,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,3,0,0,1,1,0,1,1,1,0,2,3,1,0,1,0,0,3,0,1,2,0,1,0,2,0,1,0,0,0,1,4,1,0,1,0,0,0,2,1,1,1,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,5,0,1,3,0,6,0,5,0,1,0,3,1,0,2,0,2,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,3,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2,2,0,1,0,1,1,2,0,0,0,0,0,0,3,1,3,1,0,0,1,0,0,3,0,0,1,0,2,1,0,1,0,4,1,2,3,0,1,0,0,0,1
02:00:00,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,1,0,0,2,1,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,1,1,0,1,2,0,0,0,3,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,1,0,1,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,2,0,2,0,0,0,3,0,1,0,0,0,0,0,3,1,0,1,1,1,0,4,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,1,2,0,1,1,0,3,0,0,1,2,1,0,2,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,3,0,0,0,3,1,4,0,1,2,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,2,0,1,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2,2,0,1,2,0,0,0,1,0,0,0,1
02:30:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,4,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,2,2,0,0,3,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0
03:00:00,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,1,0,0,2,0,2,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
03:30:00,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
04:00:00,0,0,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,3,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
04:30:00,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
